stratum,n_immigrants,n_natives,n_total,effect,se,p_value,ci_lower,ci_upper,significant,formatted,outcome_r2,treatment_accuracy
STEM,50795,3059349,3110144,-1.3513805050490861,0.10016176684158527,1.7529703513417817e-41,-1.547694113484153,-1.1550668966140192,True,-1.3514*** (0.1002),0.26614322044863303,0.9933758694131204
Non-STEM,470366,3059349,3529715,-0.7124956689307625,0.030618907520595363,9.350675896857054e-120,-0.772507666074219,-0.6524836717873062,True,-0.7125*** (0.0306),0.2662321382677415,0.93967786643458
