stratum,n_immigrants,n_natives,n_total,effect,se,p_value,ci_lower,ci_upper,significant,formatted,outcome_r2,treatment_accuracy
0-5 years,67841,3059349,3127190,-1.798943591918761,0.06895728487095391,5.401839069472123e-150,-1.9340974913590394,-1.6637896924784827,True,-1.7989*** (0.0690),0.26110938510328696,0.9879508440484909
5-10 years,68858,3059349,3128207,-1.939935717878324,0.06395944650009938,5.168282464564203e-202,-2.0652940264969084,-1.8145774092597395,True,-1.9399*** (0.0640),0.2596583704901916,0.9862707339153918
10-20 years,145574,3059349,3204923,-1.338177401973543,0.04673867254323675,3.0657079189023627e-180,-1.4297835860351726,-1.2465712179119135,True,-1.3382*** (0.0467),0.2617615061543884,0.9740274652378652
20+ years,238888,3059349,3298237,-0.3976882336612008,0.038005375558414115,1.266388373979366e-25,-0.4721774556457621,-0.32319901167663956,True,-0.3977*** (0.0380),0.2639924130141632,0.9588337773077625
